
-1 -1 8 7
-0.5 -0.5 8 7

-1 0 8 7
-0.5 0.5 8 7

-1 1 8 7
-0.5 1.5 8 7

-1 2 8 7
-0.5 2.5 8 7

0 -1 8 7
0.5 -0.5 8 7

0 0 8 7
0.5 0.5 8 7

0 1 8 7
0.5 1.5 8 7

0 2 8 7
0.5 2.5 8 7

1 -1 8 7
1.5 -0.5 8 7

1 0 8 7
1.5 0.5 8 7

1 1 8 7
1.5 1.5 8 7

1 2 8 7
1.5 2.5 8 7

2 -1 8 7
2.5 -0.5 8 7

2 0 8 7
2.5 0.5 8 7

2 1 2 65
2.5 1.5 8 7

2 2 8 7
2.5 2.5 8 7

3 -1 8 7
3.5 -0.5 8 7

3 0 8 7
3.5 0.5 8 7

3 1 8 7
3.5 1.5 8 7

3 2 8 7
3.5 2.5 8 7

4 -1 8 7
4.5 -0.5 8 7

4 0 8 7
4.5 0.5 8 7

4 1 8 7
4.5 1.5 8 7

4 2 8 7
4.5 2.5 8 7
